   batch        P accept         n0 mean            +/-     n0 std dev          E mean            +/-      E std dev          P mean            +/-      P std dev
    init        0.499338         55.6919     0.00752317        23.7904         5429.22      0.0441432        139.593        -2.67232     0.00928865        29.3733
    init        0.499365         56.7571     0.00744722        23.5502         5427.29      0.0441958        139.759         2.43813     0.00841831         26.621
    init        0.499406          55.195     0.00777228        24.5781         5431.36       0.044535        140.832        0.218889      0.0103895        32.8544
    init        0.499315         54.5841     0.00779715        24.6567         5432.82      0.0447297        141.448           2.687      0.0104123        32.9264
    init        0.499368         51.5613     0.00831239        26.2861         5438.81      0.0450129        142.343        -7.44417      0.0126233        39.9182
    init        0.499362          53.158     0.00803726         25.416         5435.44      0.0447847        141.622       -0.172468      0.0118447        37.4562
    init        0.499316          54.976     0.00777379        24.5829         5431.36      0.0445483        140.874        -2.24927      0.0104143         32.933
    init        0.499408         52.5359     0.00809662        25.6038         5435.85      0.0448627        141.868         -2.7985      0.0114814        36.3072
    init        0.499302         55.8944     0.00758999        24.0017         5429.04      0.0441685        139.673        -4.95168     0.00937164        29.6357
    init        0.499373         50.9467     0.00835755        26.4289         5441.62      0.0455647        144.088         6.62737      0.0129297        40.8872
    init        0.499476         50.5965      0.0085137        26.9227         5441.05       0.045266        143.144        -13.0866      0.0126765        40.0867
    init        0.499361         52.5803      0.0081619        25.8102          5436.8      0.0451615        142.813         1.17433      0.0120067        37.9684
    init        0.499362         56.4783     0.00745545        23.5762         5428.84      0.0442612        139.966        0.402576     0.00863826        27.3166
    init        0.499264         55.3711     0.00770421        24.3629         5430.82      0.0448593        141.858       -0.470566     0.00988376        31.2552
    init         0.49935         56.9352     0.00728486        23.0368         5427.84      0.0440342        139.248        0.430661     0.00857569        27.1187
    init        0.499292         58.9042     0.00687855        21.7519         5423.12      0.0436002        137.876       -0.581368     0.00623879        19.7288
    init        0.499282         57.2743     0.00722283        22.8406         5427.09       0.043833        138.612        -1.87194     0.00821349        25.9733
    init        0.499377          55.525     0.00760253        24.0413         5430.13      0.0443689        140.307        -1.54083     0.00927534        29.3312
    init        0.499407         50.9856      0.0083849        26.5154         5440.97      0.0456682        144.415        -4.07711      0.0129082        40.8192
    init        0.499252         56.4035     0.00746427        23.6041         5429.76      0.0444751        140.643        -3.58506     0.00932418        29.4856
    init        0.499348         54.2249     0.00781158        24.7024         5433.27      0.0447718        141.581        -3.58111      0.0106128        33.5607
    init        0.499296          55.512     0.00765523        24.2079         5429.85      0.0443038        140.101       -0.685084     0.00981231        31.0292
    init        0.499369         54.6742     0.00784245           24.8         5432.62      0.0448879        141.948         -0.7675      0.0105442        33.3437
    init        0.499254         53.8751     0.00793698        25.0989         5433.95      0.0446204        141.102        -4.54248      0.0114124        36.0892
    init        0.499417         52.9908     0.00809825        25.6089         5435.18      0.0449093        142.016        -1.22412      0.0118721        37.5428
    init        0.499296         53.2431     0.00807341        25.5304          5436.5      0.0453876        143.528        -1.28592      0.0118521        37.4797
    init        0.499418         54.7521     0.00773626        24.4642         5433.45      0.0451513        142.781         1.60101      0.0103378         32.691
    init        0.499248          50.669     0.00841718        26.6175          5441.2       0.045494        143.865        -4.80511      0.0134226        42.4458
    init        0.499308         54.5519     0.00784164        24.7974         5432.88      0.0446136        141.081        -2.45733      0.0107524         34.002
    init        0.499352         53.9314     0.00781965        24.7279            5434      0.0447642        141.557        -6.34699      0.0104035        32.8988
    init        0.499276          49.748     0.00866898        27.4137         5442.46      0.0454386         143.69         13.0073      0.0136698        43.2276
    init        0.499294         52.5399     0.00817355         25.847         5436.91       0.045081        142.559         4.36024      0.0118057        37.3328
    init        0.499362         54.9739     0.00778011        24.6029         5432.12      0.0445472         140.87        -0.19538      0.0101897        32.2225
    init        0.499382         55.2024     0.00776292        24.5485          5430.7      0.0446471        141.187         3.34593      0.0100568        31.8025
    init        0.499358          54.742     0.00767507        24.2707         5431.22      0.0443666        140.299         1.41558      0.0098029        30.9995
    init        0.499284         52.3928     0.00822639        26.0141         5437.18      0.0449288        142.077         7.71854      0.0120001        37.9475
    init        0.499322         54.1334     0.00788757        24.9427         5432.22      0.0445283        140.811         5.22388      0.0105923        33.4959
    init        0.499321         56.3803     0.00756719        23.9295         5429.03       0.044483        140.668        -5.19886      0.0093287        29.4999
    init        0.499283         54.8733     0.00764143        24.1643         5431.56      0.0443687        140.306       -0.582022     0.00966319        30.5577
    init        0.499303         52.4008     0.00822636         26.014         5437.34      0.0451609        142.811         3.76824      0.0123189        38.9556
    init        0.499283         52.1449     0.00827251          26.16         5437.23       0.045075         142.54        -5.09358      0.0124493        39.3682
    init        0.499412         51.4104     0.00838276        26.5086         5440.16      0.0453496        143.408        -1.36042      0.0131174        41.4809
    init        0.499412         53.8722     0.00782513        24.7452         5435.25      0.0449923        142.278         5.48025      0.0105589        33.3903
    init        0.499328         53.3535     0.00817229        25.8431         5435.89      0.0450457        142.447        -1.93266      0.0119453        37.7742
    init        0.499337         53.7792     0.00796828        25.1979         5434.03      0.0450292        142.395        -5.35201       0.011065        34.9907
    init        0.499309         56.5068     0.00738346        23.3485         5428.84      0.0444008        140.408        0.458912     0.00873702        27.6289
    init        0.499383         53.2361     0.00810794        25.6395          5435.3      0.0449554        142.161        0.918006      0.0113639        35.9358
    init        0.499264         55.6407     0.00767642         24.275         5429.55       0.044334        140.197        -7.26588      0.0094234        29.7994
    init        0.499307         54.2113      0.0078811        24.9222         5433.79      0.0448143        141.715        0.342933      0.0107577        34.0187
    init        0.499353         52.2088     0.00822258        26.0021         5437.76      0.0451109        142.653         1.99092      0.0123673         39.109
    init        0.499304         54.1786     0.00791313        25.0235         5434.86      0.0451655        142.826           1.809      0.0111774        35.3461
    init        0.499254         56.4277     0.00739705        23.3915         5427.43      0.0441173        139.511         3.17127     0.00861977        27.2581
